Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Aprobare_Credit
-2.985695926914347,0.8731896112238267,-0.09443965149526923,0.2661265394674589,-0.675962780403614,1.753466315631935,-0.5989836965489872,1.3630559292687392,0.8317844335863045,1.9530028102176122,0
-0.22345715571606872,-1.0478792580153369,-0.9979248040539238,-0.7448032984852608,-0.5555937092258154,0.07779652946411342,-0.9439091425116013,-0.42222594047037654,1.641088911681203,-0.46962336024094486,1
-4.498044560818027,-0.2286457491411839,-2.313380034756472,-0.4309185357276255,0.09075808516945028,1.6869751799853259,2.0259967480355057,0.2996463836623722,-2.3189952182219944,0.825318461685748,0
-3.0343338064804692,1.3589875356549386,-1.2455930302228635,-0.04389491697680466,-1.2731855500494969,2.9524534906562767,-0.44440242201584135,-1.4745993468205476,-0.6919681230712922,1.499921355363468,0
0.9458393004721877,-1.0159780607506639,0.2901921053190579,-0.18539354668469457,1.0750790205078564,2.209436970550209,-1.212474672197476,-0.5603091891570842,2.3680546309792065,-0.5279403230046915,1
-1.36264598321121,-1.6394949892370356,-2.6459762384466554,-2.263802879712959,-0.2744978192630311,0.6531570060860383,-1.2056048558326777,-1.386656753872233,1.6277266008468443,1.2063987526991586,0
0.6970465363141405,-0.8880449625995952,-0.47368662802233963,-1.37635662450207,0.37384696220934355,1.9333468172267216,-1.0412527084889456,-0.8382743046815956,1.2636618157221287,-2.7178019390172063,1
4.776576929921019,-1.9651688774648797,-0.29834907075243566,0.7695712484504402,2.6275371730633568,-1.2960902142115835,-0.6203889354674497,-1.5954481784676207,0.0653711559580521,-2.385985500059144,1
-3.5937029083060503,-0.8538676002674697,-0.7210899446997576,0.53754580255657,-0.15303360296312518,1.5616370516124847,0.3250806001784461,2.440772536173535,1.4025430854529457,0.001369200249845437,1
1.367083285317995,-1.0331349153926064,-1.7045095615912325,-1.2343325089767594,-0.09002938717522024,-2.257407228674258,-0.41930616807651655,-0.18762745664942404,-1.0777004313352476,-3.5840605337493914,1
-2.210489003557594,1.9694142048487955,0.4475724803589578,2.2741956436766904,2.314510707507377,3.1665734748741654,6.218114021942625,-2.972195901650177,-7.492068032767929,3.1446944849008482,0
-4.903363534990408,0.1930764778262135,-0.7713709701298783,-1.3958652784247987,-2.0041577492164846,2.1292860552019963,1.0432788342851043,0.7409076237007699,0.7726722255262475,1.4150605898898303,0
-6.195631852957312,0.2891764574182315,-1.0699820232071091,-1.4086007649927637,-1.2843058237809717,1.3587307230959769,1.0585699773842598,3.1038266013600957,0.2650569844779549,2.2325215034455956,0
